Review_Text,Word_Tokens,Updated_Aspect_Terms,BIO_Tags
"Hi friends,ഞാൻ ഉപയോഗിക്കുന്നത് taotronic liberty 79 ആണ്. നല്ല clear call quality ഉണ്ട്. പിന്നെ നല്ല battery backup,build quality ഉണ്ട്. കറക്റ്റ് ആയി ചെവിയിലിരിക്കും. വ്യായാമം ചെയ്യുമ്പോൾ ഉപയോഗിക്കാം. ഞാൻ uae ൽ നിന്നാണ് ഓർഡർ ചെയ്തത്.എനിക്ക് ആമസോണിൽ 140 dhm ആണ് ആയത്.ഈ കാശിനു ഇതിലും നല്ല ഒരു product എന്റെ അന്വേഷണത്തിൽ കിട്ടിയില്ല","['hi', 'friendsഞാൻ', 'ഉപയോഗിക്കുന്നത്', 'taotronic', 'liberty', '79', 'ആണ്', 'നല്ല', 'clear', 'call', 'quality', 'ഉണ്ട്', 'പിന്നെ', 'നല്ല', 'battery', 'backupbuild', 'quality', 'ഉണ്ട്', 'കറക്റ്റ്', 'ആയി', 'ചെവിയിലിരിക്കും', 'വ്യായാമം', 'ചെയ്യുമ്പോൾ', 'ഉപയോഗിക്കാം', 'ഞാൻ', 'uae', 'ൽ', 'നിന്നാണ്', 'ഓർഡർ', 'ചെയ്തത്എനിക്ക്', 'ആമസോണിൽ', '140', 'dhm', 'ആണ്', 'ആയത്ഈ', 'കാശിനു', 'ഇതിലും', 'നല്ല', 'ഒരു', 'product', 'എന്റെ', 'അന്വേഷണത്തിൽ', 'കിട്ടിയില്ല']","{'camera': ['quality'], 'phone': ['pro'], 'processor': ['processor']}","[('hi', 'O'), ('friendsഞാൻ', 'O'), ('ഉപയോഗിക്കുന്നത്', 'O'), ('taotronic', 'O'), ('liberty', 'O'), ('79', 'O'), ('ആണ്', 'O'), ('നല്ല', 'O'), ('clear', 'O'), ('call', 'O'), ('quality', 'B-camera'), ('ഉണ്ട്', 'O'), ('പിന്നെ', 'O'), ('നല്ല', 'O'), ('battery', 'O'), ('backupbuild', 'O'), ('quality', 'O'), ('ഉണ്ട്', 'O'), ('കറക്റ്റ്', 'O'), ('ആയി', 'O'), ('ചെവിയിലിരിക്കും', 'O'), ('വ്യായാമം', 'O'), ('ചെയ്യുമ്പോൾ', 'O'), ('ഉപയോഗിക്കാം', 'O'), ('ഞാൻ', 'O'), ('uae', 'O'), ('ൽ', 'O'), ('നിന്നാണ്', 'O'), ('ഓർഡർ', 'O'), ('ചെയ്തത്എനിക്ക്', 'O'), ('ആമസോണിൽ', 'O'), ('140', 'O'), ('dhm', 'O'), ('ആണ്', 'O'), ('ആയത്ഈ', 'O'), ('കാശിനു', 'O'), ('ഇതിലും', 'O'), ('നല്ല', 'O'), ('ഒരു', 'O'), ('product', 'O'), ('എന്റെ', 'O'), ('അന്വേഷണത്തിൽ', 'O'), ('കിട്ടിയില്ല', 'O')]"
Display motion ഒരു 90 hz എങ്കിലും കൊടുത്തൂടെ ഇവന്മാർക്ക്..10000 രൂപയുടെ ഫോണുകളിൽ പോലും 90hz 120hz ഒക്കെയുണ്ട്.,"['display', 'motion', 'ഒരു', '90', 'hz', 'എങ്കിലും', 'കൊടുത്തൂടെ', 'ഇവന്മാർക്ക്10000', 'രൂപയുടെ', 'ഫോണുകളിൽ', 'പോലും', '90hz', '120hz', 'ഒക്കെയുണ്ട്']","{'screen': ['display'], 'design': ['display']}","[('display', 'B-design'), ('motion', 'O'), ('ഒരു', 'O'), ('90', 'O'), ('hz', 'O'), ('എങ്കിലും', 'O'), ('കൊടുത്തൂടെ', 'O'), ('ഇവന്മാർക്ക്10000', 'O'), ('രൂപയുടെ', 'O'), ('ഫോണുകളിൽ', 'O'), ('പോലും', 'O'), ('90hz', 'O'), ('120hz', 'O'), ('ഒക്കെയുണ്ട്', 'O')]"
90k ക്കുവാങ്ങാൻ 25k ticket കൂലിയും കൊടുത്ത് വാങ്ങാൻ പോകുന്ന അൽമലയാളി😄😄😄,"['90k', 'ക്കുവാങ്ങാൻ', '25k', 'ticket', 'കൂലിയും', 'കൊടുത്ത്', 'വാങ്ങാൻ', 'പോകുന്ന', 'അൽമലയാളി']",{},"[('90k', 'O'), ('ക്കുവാങ്ങാൻ', 'O'), ('25k', 'O'), ('ticket', 'O'), ('കൂലിയും', 'O'), ('കൊടുത്ത്', 'O'), ('വാങ്ങാൻ', 'O'), ('പോകുന്ന', 'O'), ('അൽമലയാളി', 'O')]"
Dxomark സൈറ്റിൽ ക്യാമെറയിൽ no1 pixel 7 pro ആണെന്നാണ് പറയുന്നത്. Iphone 14pro 3rd place ആണ്.,"['dxomark', 'സൈറ്റിൽ', 'ക്യാമെറയിൽ', 'no1', 'pixel', '7', 'pro', 'ആണെന്നാണ്', 'പറയുന്നത്', 'iphone', '14pro', '3rd', 'place', 'ആണ്']","{'camera': ['pixel'], 'phone': ['pro', 'iphone'], 'processor': ['processor']}","[('dxomark', 'O'), ('സൈറ്റിൽ', 'O'), ('ക്യാമെറയിൽ', 'O'), ('no1', 'O'), ('pixel', 'B-camera'), ('7', 'O'), ('pro', 'B-phone'), ('ആണെന്നാണ്', 'O'), ('പറയുന്നത്', 'O'), ('iphone', 'B-phone'), ('14pro', 'O'), ('3rd', 'O'), ('place', 'O'), ('ആണ്', 'O')]"
കുഴപ്പം ഇല്ല എന്നാലും 10000 രൂപ റേഞ്ചിൽ നോക്കുമ്പോ അടിപൊളി ആണ് gaming നല്ലതുപോലെ പറ്റുന്നില്ല എന്നാലും config ഒക്കെ ഇട്ട് കളിക്കുമ്പോ clear ആണ് കൊള്ളാം അത്രേ പറയാനുള്ളു എന്തായാലും ഞാൻ 6manths ഇനകം new ഫോൺ എടുക്കും ഒന്നേൽ realme x2 അല്ലേൽ realme 7 pro,"['കുഴപ്പം', 'ഇല്ല', 'എന്നാലും', '10000', 'രൂപ', 'റേഞ്ചിൽ', 'നോക്കുമ്പോ', 'അടിപൊളി', 'ആണ്', 'gaming', 'നല്ലതുപോലെ', 'പറ്റുന്നില്ല', 'എന്നാലും', 'config', 'ഒക്കെ', 'ഇട്ട്', 'കളിക്കുമ്പോ', 'clear', 'ആണ്', 'കൊള്ളാം', 'അത്രേ', 'പറയാനുള്ളു', 'എന്തായാലും', 'ഞാൻ', '6manths', 'ഇനകം', 'new', 'ഫോൺ', 'എടുക്കും', 'ഒന്നേൽ', 'realme', 'x2', 'അല്ലേൽ', 'realme', '7', 'pro']","{'phone': ['realmex2pro', 'ഐഫോൺ'], 'processor': ['processor'], 'applications': ['gaming']}","[('കുഴപ്പം', 'O'), ('ഇല്ല', 'O'), ('എന്നാലും', 'O'), ('10000', 'O'), ('രൂപ', 'O'), ('റേഞ്ചിൽ', 'O'), ('നോക്കുമ്പോ', 'O'), ('അടിപൊളി', 'O'), ('ആണ്', 'O'), ('gaming', 'B-applications'), ('നല്ലതുപോലെ', 'O'), ('പറ്റുന്നില്ല', 'O'), ('എന്നാലും', 'O'), ('config', 'O'), ('ഒക്കെ', 'O'), ('ഇട്ട്', 'O'), ('കളിക്കുമ്പോ', 'O'), ('clear', 'O'), ('ആണ്', 'O'), ('കൊള്ളാം', 'O'), ('അത്രേ', 'O'), ('പറയാനുള്ളു', 'O'), ('എന്തായാലും', 'O'), ('ഞാൻ', 'O'), ('6manths', 'O'), ('ഇനകം', 'O'), ('new', 'O'), ('ഫോൺ', 'O'), ('എടുക്കും', 'O'), ('ഒന്നേൽ', 'O'), ('realme', 'O'), ('x2', 'O'), ('അല്ലേൽ', 'O'), ('realme', 'O'), ('7', 'O'), ('pro', 'O')]"
ഇന്നാണ് വീഡിയോ കാണാൻ ഇടയായത് . very Nicetnks...,"['ഇന്നാണ്', 'വീഡിയോ', 'കാണാൻ', 'ഇടയായത്', 'very', 'nicetnks']",{'camera': ['വീഡിയോ']},"[('ഇന്നാണ്', 'O'), ('വീഡിയോ', 'B-camera'), ('കാണാൻ', 'O'), ('ഇടയായത്', 'O'), ('very', 'O'), ('nicetnks', 'O')]"
"പിക്സൽ ഏറ്റവും മികച്ച flagship phone option ആവുന്നതെന്തുകൊണ്ടാണ് .<i>__________________________________</i>.1. better software experience :അഞ്ചു കൊല്ലത്തെ സോഫ്റ്റ്‌വെയർ അപ്ഡേഷനും മൂന്നു കൊല്ലത്തെ സെക്യൂരിറ്റി അപ്ഡേഷൻ. (ഈ ഇടക്ക് വന്ന സകല സാംസ്ങ്ങ് software അപ്ഡേഷൻസും ഫോണിന്റെ ക്യാമറ ഉൾപ്പെടെ ഉള്ള സകലതിനെയും സാരമായി ബാധിച്ചു. ios 16 ന്റെ കഥയും മോശമല്ല.... ).2. clear Android experience (99% bug 🐛 free).3 . segment best camra (photos better than iPhone 14 series) , സിനിമാറ്റിക്ക് ബ്ലർ is awesome 👍💯","['പിക്സൽ', 'ഏറ്റവും', 'മികച്ച', 'flagship', 'phone', 'option', 'ആവുന്നതെന്തുകൊണ്ടാണ്', 'i__________________________________i1', 'better', 'software', 'experience', 'അഞ്ചു', 'കൊല്ലത്തെ', 'സോഫ്റ്റ്വെയർ', 'അപ്ഡേഷനും', 'മൂന്നു', 'കൊല്ലത്തെ', 'സെക്യൂരിറ്റി', 'അപ്ഡേഷൻ', 'ഈ', 'ഇടക്ക്', 'വന്ന', 'സകല', 'സാംസ്ങ്ങ്', 'software', 'അപ്ഡേഷൻസും', 'ഫോണിന്റെ', 'ക്യാമറ', 'ഉൾപ്പെടെ', 'ഉള്ള', 'സകലതിനെയും', 'സാരമായി', 'ബാധിച്ചു', 'ios', '16', 'ന്റെ', 'കഥയും', 'മോശമല്ല', '2', 'clear', 'android', 'experience', '99', 'bug', 'free3', 'segment', 'best', 'camra', 'photos', 'better', 'than', 'iphone', '14', 'series', 'സിനിമാറ്റിക്ക്', 'ബ്ലർ', 'is', 'awesome']","{'camera': ['ക്യാമറ'], 'phone': ['iphone', '14 പ്രൊ'], 'os': ['android', 'ios'], 'software': ['bug', 'സോഫ്റ്റ്വെയർ']}","[('പിക്സൽ', 'O'), ('ഏറ്റവും', 'O'), ('മികച്ച', 'O'), ('flagship', 'O'), ('phone', 'O'), ('option', 'O'), ('ആവുന്നതെന്തുകൊണ്ടാണ്', 'O'), ('i__________________________________i1', 'O'), ('better', 'O'), ('software', 'O'), ('experience', 'O'), ('അഞ്ചു', 'O'), ('കൊല്ലത്തെ', 'O'), ('സോഫ്റ്റ്വെയർ', 'B-software'), ('അപ്ഡേഷനും', 'O'), ('മൂന്നു', 'O'), ('കൊല്ലത്തെ', 'O'), ('സെക്യൂരിറ്റി', 'O'), ('അപ്ഡേഷൻ', 'O'), ('ഈ', 'O'), ('ഇടക്ക്', 'O'), ('വന്ന', 'O'), ('സകല', 'O'), ('സാംസ്ങ്ങ്', 'O'), ('software', 'O'), ('അപ്ഡേഷൻസും', 'O'), ('ഫോണിന്റെ', 'O'), ('ക്യാമറ', 'B-camera'), ('ഉൾപ്പെടെ', 'O'), ('ഉള്ള', 'O'), ('സകലതിനെയും', 'O'), ('സാരമായി', 'O'), ('ബാധിച്ചു', 'O'), ('ios', 'B-os'), ('16', 'O'), ('ന്റെ', 'O'), ('കഥയും', 'O'), ('മോശമല്ല', 'O'), ('2', 'O'), ('clear', 'O'), ('android', 'B-os'), ('experience', 'O'), ('99', 'O'), ('bug', 'B-software'), ('free3', 'O'), ('segment', 'O'), ('best', 'O'), ('camra', 'O'), ('photos', 'O'), ('better', 'O'), ('than', 'O'), ('iphone', 'B-phone'), ('14', 'O'), ('series', 'O'), ('സിനിമാറ്റിക്ക്', 'O'), ('ബ്ലർ', 'O'), ('is', 'O'), ('awesome', 'O')]"
ഇന്ന് വാങ്ങി review കണ്ടു ഇഷ്ട്ടപ്പെട്ടു,"['ഇന്ന്', 'വാങ്ങി', 'review', 'കണ്ടു', 'ഇഷ്ട്ടപ്പെട്ടു']",{},"[('ഇന്ന്', 'O'), ('വാങ്ങി', 'O'), ('review', 'O'), ('കണ്ടു', 'O'), ('ഇഷ്ട്ടപ്പെട്ടു', 'O')]"
സാർ താങ്കളുടെ Unboxing international standardilaanu.✌️❣️🤘,"['സാർ', 'താങ്കളുടെ', 'unboxing', 'international', 'standardilaanu']",{},"[('സാർ', 'O'), ('താങ്കളുടെ', 'O'), ('unboxing', 'O'), ('international', 'O'), ('standardilaanu', 'O')]"
1 year കഴിഞ്ഞു poli ആണ് 💥,"['1', 'year', 'കഴിഞ്ഞു', 'poli', 'ആണ്']",{'phone': ['14 പ്രൊ']},"[('1', 'O'), ('year', 'O'), ('കഴിഞ്ഞു', 'O'), ('poli', 'O'), ('ആണ്', 'O')]"
Iphone ഉപയോഗിയ്ക്കുന്നവർക്കേ അതിന്റെ power മനസ്സിലാവൂ അല്ലാതെ കിടന്നു കൊണ പറയുന്നവർക്ക് android ഉയിർ 🤣🤣🤣🤣,"['iphone', 'ഉപയോഗിയ്ക്കുന്നവർക്കേ', 'അതിന്റെ', 'power', 'മനസ്സിലാവൂ', 'അല്ലാതെ', 'കിടന്നു', 'കൊണ', 'പറയുന്നവർക്ക്', 'android', 'ഉയിർ']","{'phone': ['iphone'], 'os': ['android']}","[('iphone', 'B-phone'), ('ഉപയോഗിയ്ക്കുന്നവർക്കേ', 'O'), ('അതിന്റെ', 'O'), ('power', 'O'), ('മനസ്സിലാവൂ', 'O'), ('അല്ലാതെ', 'O'), ('കിടന്നു', 'O'), ('കൊണ', 'O'), ('പറയുന്നവർക്ക്', 'O'), ('android', 'B-os'), ('ഉയിർ', 'O')]"
s24 ultra poli look aanu but kurachu neram use cheyyumbol nalla vedhana und...pinne camera is better than 15 pro max but grains varunnund photos il,"['s24', 'ultra', 'poli', 'look', 'aanu', 'but', 'kurachu', 'neram', 'use', 'cheyyumbol', 'nalla', 'vedhana', 'undpinne', 'camera', 'is', 'better', 'than', '15', 'pro', 'max', 'but', 'grains', 'varunnund', 'photos', 'il']","{'camera': ['ultrawide'], 'phone': ['pro'], 'processor': ['processor']}","[('s24', 'O'), ('ultra', 'O'), ('poli', 'O'), ('look', 'O'), ('aanu', 'O'), ('but', 'O'), ('kurachu', 'O'), ('neram', 'O'), ('use', 'O'), ('cheyyumbol', 'O'), ('nalla', 'O'), ('vedhana', 'O'), ('undpinne', 'O'), ('camera', 'O'), ('is', 'O'), ('better', 'O'), ('than', 'O'), ('15', 'O'), ('pro', 'B-phone'), ('max', 'O'), ('but', 'O'), ('grains', 'O'), ('varunnund', 'O'), ('photos', 'O'), ('il', 'O')]"
Yeah.. I agree 3D rendering... IPHONE is the beast here! But wait Android il ath pettoola ennundo? Nop Android ilm ath petum smooth aayi! Them 3NM chip aaya A17 pro de avasta nhan parayandalla! 😂 😂.Crrntly G2 processor nekkaalum കഷ്ടം aanu A17 pro....Energy consmptn valre kodthal aanu caused by over heatng and heatng caused by phones poor engineering behind building. So its a waste. A17 pro powerfll aanu I agree 👍... But 😂....Then Security Stll some Chinese guy can break ios within seconds....And ios is not secure as we thnk....And then in my view KNOX is more secure than IOS security.,"['yeah', 'i', 'agree', '3d', 'rendering', 'iphone', 'is', 'the', 'beast', 'here', 'but', 'wait', 'android', 'il', 'ath', 'pettoola', 'ennundo', 'nop', 'android', 'ilm', 'ath', 'petum', 'smooth', 'aayi', 'them', '3nm', 'chip', 'aaya', 'a17', 'pro', 'de', 'avasta', 'nhan', 'parayandalla', 'crrntly', 'g2', 'processor', 'nekkaalum', 'കഷ്ടം', 'aanu', 'a17', 'proenergy', 'consmptn', 'valre', 'kodthal', 'aanu', 'caused', 'by', 'over', 'heatng', 'and', 'heatng', 'caused', 'by', 'phones', 'poor', 'engineering', 'behind', 'building', 'so', 'its', 'a', 'waste', 'a17', 'pro', 'powerfll', 'aanu', 'i', 'agree', 'but', 'then', 'security', 'stll', 'some', 'chinese', 'guy', 'can', 'break', 'ios', 'within', 'secondsand', 'ios', 'is', 'not', 'secure', 'as', 'we', 'thnkand', 'then', 'in', 'my', 'view', 'knox', 'is', 'more', 'secure', 'than', 'ios', 'security']","{'phone': ['pro', 'iphone'], 'os': ['android', 'ios'], 'processor': ['chip']}","[('yeah', 'O'), ('i', 'O'), ('agree', 'O'), ('3d', 'O'), ('rendering', 'O'), ('iphone', 'B-phone'), ('is', 'O'), ('the', 'O'), ('beast', 'O'), ('here', 'O'), ('but', 'O'), ('wait', 'O'), ('android', 'B-os'), ('il', 'O'), ('ath', 'O'), ('pettoola', 'O'), ('ennundo', 'O'), ('nop', 'O'), ('android', 'O'), ('ilm', 'O'), ('ath', 'O'), ('petum', 'O'), ('smooth', 'O'), ('aayi', 'O'), ('them', 'O'), ('3nm', 'O'), ('chip', 'B-processor'), ('aaya', 'O'), ('a17', 'O'), ('pro', 'B-phone'), ('de', 'O'), ('avasta', 'O'), ('nhan', 'O'), ('parayandalla', 'O'), ('crrntly', 'O'), ('g2', 'O'), ('processor', 'O'), ('nekkaalum', 'O'), ('കഷ്ടം', 'O'), ('aanu', 'O'), ('a17', 'O'), ('proenergy', 'O'), ('consmptn', 'O'), ('valre', 'O'), ('kodthal', 'O'), ('aanu', 'O'), ('caused', 'O'), ('by', 'O'), ('over', 'O'), ('heatng', 'O'), ('and', 'O'), ('heatng', 'O'), ('caused', 'O'), ('by', 'O'), ('phones', 'O'), ('poor', 'O'), ('engineering', 'O'), ('behind', 'O'), ('building', 'O'), ('so', 'O'), ('its', 'O'), ('a', 'O'), ('waste', 'O'), ('a17', 'O'), ('pro', 'O'), ('powerfll', 'O'), ('aanu', 'O'), ('i', 'O'), ('agree', 'O'), ('but', 'O'), ('then', 'O'), ('security', 'O'), ('stll', 'O'), ('some', 'O'), ('chinese', 'O'), ('guy', 'O'), ('can', 'O'), ('break', 'O'), ('ios', 'B-os'), ('within', 'O'), ('secondsand', 'O'), ('ios', 'O'), ('is', 'O'), ('not', 'O'), ('secure', 'O'), ('as', 'O'), ('we', 'O'), ('thnkand', 'O'), ('then', 'O'), ('in', 'O'), ('my', 'O'), ('view', 'O'), ('knox', 'O'), ('is', 'O'), ('more', 'O'), ('secure', 'O'), ('than', 'O'), ('ios', 'O'), ('security', 'O')]"
"Iam a redmi 4 user. I personally like redmi note series. Also my phone become too much older so, കിട്ടിയാൽ കൊയപ്പല്ല 👍😁","['iam', 'a', 'redmi', '4', 'user', 'i', 'personally', 'like', 'redmi', 'note', 'series', 'also', 'my', 'phone', 'become', 'too', 'much', 'older', 'so', 'കിട്ടിയാൽ', 'കൊയപ്പല്ല']","{'phone': [], 'network': ['4ജി']}","[('iam', 'O'), ('a', 'O'), ('redmi', 'O'), ('4', 'O'), ('user', 'O'), ('i', 'O'), ('personally', 'O'), ('like', 'O'), ('redmi', 'O'), ('note', 'O'), ('series', 'O'), ('also', 'O'), ('my', 'O'), ('phone', 'O'), ('become', 'O'), ('too', 'O'), ('much', 'O'), ('older', 'O'), ('so', 'O'), ('കിട്ടിയാൽ', 'O'), ('കൊയപ്പല്ല', 'O')]"
ചേട്ടാ പുതിയ budget 5g phone കളിൽ എന്തുകൊണ്ടാണ് 64 mp cam കൊടുകത്തത്. അത് പോലെ display LED ആകാമായിരുന്നു.,"['ചേട്ടാ', 'പുതിയ', 'budget', '5g', 'phone', 'കളിൽ', 'എന്തുകൊണ്ടാണ്', '64', 'mp', 'cam', 'കൊടുകത്തത്', 'അത്', 'പോലെ', 'display', 'led', 'ആകാമായിരുന്നു']","{'screen': ['display'], 'camera': ['mp'], 'phone': [], 'price': ['budget'], 'network': ['5g'], 'design': ['display']}","[('ചേട്ടാ', 'O'), ('പുതിയ', 'O'), ('budget', 'B-price'), ('5g', 'B-network'), ('phone', 'O'), ('കളിൽ', 'O'), ('എന്തുകൊണ്ടാണ്', 'O'), ('64', 'O'), ('mp', 'B-camera'), ('cam', 'O'), ('കൊടുകത്തത്', 'O'), ('അത്', 'O'), ('പോലെ', 'O'), ('display', 'B-design'), ('led', 'O'), ('ആകാമായിരുന്നു', 'O')]"
